study_id,split,reliable_contrasts,osf_title,tess_url,field_start_year,tess_page_reports_findings,publication,pub_year,pub_authors,pub_title,pub_venue,pub_url,pub_doi,citations,results_public,published,unclear,coder_a_public,coder_b_public,reconciliation
326nv,unseen,2,Anxious Politics: The effects of immigration anxiety on trust and attitudes,https://www.tessexperiments.org/study/albertson096,2010.0,False,yes,2015.0,"Bethany Albertson, Shana Kushner Gadarian",Anxious Politics: Democratic Citizenship in a Threatening World,Cambridge University Press,https://doi.org/10.1017/cbo9781139963107,10.1017/cbo9781139963107,565.0,True,True,False,True,True,agreed
345ms,seen,4,Is the Impending Majority-Minority United States Seen as a System Threat to White Americans?,https://www.tessexperiments.org/study/craig271,2012.0,True,yes,2014.0,"Maureen A. Craig, Jennifer A. Richeson",On the precipice of a 'majority-minority' America: Perceived status threat from the racial demographic shift affects White Americans' political ideology,Psychological Science,https://scholar.google.com/scholar?q=Craig+Richeson+%22precipice+of+a+majority-minority%22,,,True,True,False,True,True,agreed
3bzxg,seen,4,Do Attempts to Improve Respondent Attention Increase Social Desirability Bias?,https://www.tessexperiments.org/study/jerit315,2012.0,True,yes,2015.0,"Clifford, Scott, and Jennifer Jerit",Do Attempts to Improve Respondent Attention Increase Social Desirability Bias?,Public Opinion Quarterly,https://doi.org/10.1093/poq/nfv027,10.1093/poq/nfv027,96.0,True,True,False,True,True,agreed
3jwnf,seen,1,Deadly Divisions in Mass Pandemic Responses,https://www.tessexperiments.org/study/wronski1286,2020.0,False,no,,,,,,,,False,False,False,False,False,agreed
3muqx,unseen,9,Whom Do You Believe? Assessing Credibility of the Accuser and Accused in Sexual Assault,https://www.tessexperiments.org/study/hamiltonS31,2018.0,False,no,,,,,,,,False,False,False,False,False,agreed
3pcdm,unseen,5,Public Opinion and Attributions for Health Care Costs,https://www.tessexperiments.org/study/mccabeS19,2018.0,True,yes,2022.0,"McCabe, Katherine T.",Spreading the blame: personal experience and attribution for health care expenses,"Journal of Elections, Public Opinion and Parties",https://doi.org/10.1080/17457289.2022.2113089,10.1080/17457289.2022.2113089,2.0,True,True,False,True,True,agreed
3rvgz,unseen,3,Racialized Organizations and the Reproduction of Inequality: Assessing Support for Whiteness as a Credential and the Preservation of Racial Ignorance,https://www.tessexperiments.org/study/kmec1478,2022.0,True,no,,,,,,,,True,False,False,True,True,agreed
3xy9j,seen,4,An experiment on the presumption of consent to emergency medical treatment,https://www.tessexperiments.org/study/chiong300,2012.0,True,yes,2014.0,"Winston Chiong, Andrew S. Kim, Ivy A. Huang, Nita A. Farahany, et al.",Testing the Presumption of Consent to Emergency Treatment for Acute Ischemic Stroke,Journal of the American Medical Association 311(16): 1689-1691,https://scholar.google.com/scholar?q=Chiong+%22Testing+the+Presumption+of+Consent+to+Emergency+Treatment+for+Acute+Ischemic+Stroke%22,,18.0,True,True,False,True,True,agreed
3ydty,seen,5,The Division of Labor in Same-sex and Heterosexual Households,https://www.tessexperiments.org/study/doan663,2015.0,False,yes,2018.0,"Doan, Long, and Natasha Quadlin",Partner Characteristics and Perceptions of Responsibility for Housework and Child Care,Journal of Marriage and Family,https://doi.org/10.1111/jomf.12526,10.1111/jomf.12526,62.0,True,True,False,True,True,agreed
48p7y,seen,1,"The Mechanisms of Labor Market Discrimination: How Sex, Gender Role, and Sexual Orientation Treatments Impact Evaluations of Black Male Job Applicants",https://www.tessexperiments.org/study/pedulla170,2011.0,True,yes,2014.0,"Pedulla, David S.","The Positive Consequences of Negative Stereotypes: Race, Sexual Orientation, and the Job Application Process",Social Psychology Quarterly,https://doi.org/10.1177/0190272513506229,10.1177/0190272513506229,202.0,True,True,False,True,True,agreed
4fsg5,seen,99,Accounting for the Correlation between Perceived Risks and Rewards to Crime,https://www.tessexperiments.org/study/bucci1408,2021.0,False,no,,,,,,,,False,False,False,False,False,agreed
4kjtn,seen,6,Assessing the Breadth of Framing Effects,https://www.tessexperiments.org/study/hopkins145,2011.0,True,yes,2017.0,"Hopkins, Daniel J., and Jonathan Mummolo",Assessing the Breadth of Framing Effects,Quarterly Journal of Political Science,https://doi.org/10.1561/100.00015139,10.1561/100.00015139,38.0,True,True,False,True,True,agreed
4n986,seen,33,The Political Effects of Opioid Addiction Frames,https://www.tessexperiments.org/study/raychaudhuri1265,2020.0,True,yes,2023.0,"Tanika Raychaudhuri, Tali Mendelberg, Anne McDonough",The Political Effects of Opioid Addiction Frames,The Journal of Politics,https://scholar.google.com/scholar?q=Raychaudhuri+Mendelberg+%22Political+Effects+of+Opioid+Addiction+Frames%22,10.1086/720326,15.0,True,True,False,True,True,agreed
4rqy5,seen,1,The Effect of News Coverage Celebrating Inclusion in Congress,https://www.tessexperiments.org/study/huffmannM15,2022.0,True,no,,,,,,,,True,False,False,True,True,agreed
4w9pz,seen,5,When and How Teachers Communicate Growth Mindset Affordances to Adolescents,https://www.tessexperiments.org/study/hecht1248,2020.0,True,yes,2022.0,"Cameron A. Hecht, Carol S. Dweck, Mary C. Murphy, Kathryn M. Kroeper, and David S. Yeager",Efficiently exploring the causal role of contextual moderators in behavioral science,"Proceedings of the National Academy of Sciences, 120(1)",https://www.pnas.org/doi/10.1073/pnas.2216315120,10.1073/pnas.2216315120,60.0,True,True,False,True,True,agreed
4zscf,seen,13,Precarious Sexuality and Categorization of Sexual Orientation,https://www.tessexperiments.org/study/mizeBR49,2015.0,True,yes,2015.0,"Mize, Trenton D., and Bianca Manago",Precarious Sexuality: How Men and Women Are Differentially Categorized and Evaluated for Similar Sexual Behavior,American Sociological Review,https://doi.org/10.1177/0003122418759544,10.1177/0003122418759544,72.0,True,True,False,True,True,agreed
4zwv2,seen,61,Do Injustice and Power Determine Anger and Fear Toward Terrorist Groups?,https://www.tessexperiments.org/study/ginersorolla136,2011.0,True,yes,2013.0,"Giner-Sorolla, Roger, Angela T. Maitner","Angry at the Unjust, Scared of the Powerful: Emotional Responses to Terrorist Threat",Personality and Social Psychology Bulletin,https://doi.org/10.1177/0146167213490803,10.1177/0146167213490803,36.0,True,True,False,True,True,agreed
52ymc,seen,2,Do White Americans’ Beliefs about Racial Inequality depend on the Sex of the Target Group? Evidence from a Survey Based Experiment,https://www.tessexperiments.org/study/behrends1417,2021.0,False,no,,,,,,,,False,False,False,False,False,agreed
5an26,unseen,4,Gender and Physical Attractiveness as Status Beliefs,https://www.tessexperiments.org/study/paustianunderdahl098,2011.0,True,yes,2015.0,Samantha C. Paustian-Underdahl and Lisa Slattery Walker,Revisiting the beauty is beastly effect: examining when and why sex and attractiveness impact hiring judgments,"The International Journal of Human Resource Management, 27(10), 1034-1058",https://www.tandfonline.com/doi/abs/10.1080/09585192.2015.1053963,10.1080/09585192.2015.1053963,43.0,True,True,False,True,True,agreed
5b6tf,seen,4,"Social Class, College Debt, and the Purpose of College",https://www.tessexperiments.org/study/cohen1099,2019.0,False,no,,,,,,,,False,False,False,False,False,agreed
